time,gamemode,game_map,Cnasty703,HafenNation,Steelblade01,YungJaguar,mcddp15,zE tthrilla,zE eskky,win
Wednesday,Capture the Flag,Aquarious,False,True,True,False,False,True,True,True
Wednesday,Capture the Flag,Empyrean,False,True,True,False,False,True,True,True
Wednesday,Capture the Flag,Argyle,False,True,True,False,False,True,True,False
Tuesday,Capture the Flag,Empyrean,False,True,False,True,False,True,True,False
Tuesday,Oddball,Live Fire,False,True,False,True,False,True,True,True
Tuesday,Oddball,Recharge,False,True,False,True,False,True,True,False
Thursday,Team Slayer,Recharge,False,True,False,True,False,True,True,True
Thursday,Capture the Flag,Argyle,False,True,False,True,False,True,True,True
Thursday,Strongholds,Live Fire,False,True,False,True,False,True,True,True
Thursday,Capture the Flag,Aquarious,False,True,False,True,False,True,True,False
Thursday,Capture the Flag,Argyle,False,True,False,True,False,True,True,True
Sunday,Oddball,Recharge,False,True,False,True,False,True,True,True
Sunday,Team Slayer,Live Fire,False,True,False,True,False,True,True,True
Sunday,King of the Hill,Solitude,False,True,False,True,False,True,True,False
Sunday,Capture the Flag,Forbidden,False,True,False,True,False,True,True,False
Sunday,Strongholds,Recharge,False,True,False,True,False,True,True,False
Saturday,Strongholds,Recharge,False,True,False,True,False,True,True,False
Saturday,Team Slayer,Aquarious,False,True,False,True,False,True,True,False
Saturday,Capture the Flag,Argyle,False,True,False,True,False,True,True,False
Sunday,Team Slayer,Aquarious,False,True,False,True,False,True,True,True
Sunday,Oddball,Streets,False,True,False,True,False,True,True,False
Sunday,Capture the Flag,Forbidden,False,True,False,True,False,True,True,False
Monday,Oddball,Live Fire,False,True,False,False,False,True,True,True
Monday,King of the Hill,Solitude,False,True,False,False,False,True,True,False
Monday,King of the Hill,Interference,False,True,False,False,False,True,True,False
Monday,Strongholds,Live Fire,False,True,False,False,False,True,True,True
Monday,Capture the Flag,Aquarious,False,True,False,False,False,True,True,False
Wednesday,Oddball,Streets,False,True,False,False,False,True,True,True
Monday,Capture the Flag,Forbidden,False,True,True,False,False,True,True,False
Monday,Strongholds,Recharge,False,True,True,False,False,True,True,False
Monday,Team Slayer,Recharge,False,True,True,False,False,True,True,False
Monday,King of the Hill,Interference,False,True,True,False,False,True,True,False
Monday,King of the Hill,Interference,False,True,True,False,False,True,True,False
Monday,Oddball,Streets,False,True,True,False,False,True,True,False
Monday,Oddball,Recharge,False,True,True,False,False,True,True,True
Monday,Capture the Flag,Argyle,False,True,True,False,False,True,True,False
Friday,King of the Hill,Recharge,False,True,False,True,False,True,True,False
Friday,King of the Hill,Live Fire,False,True,False,True,False,True,True,False
Friday,Oddball,Live Fire,False,True,False,True,False,True,True,False
Friday,King of the Hill,Solitude,False,True,False,True,False,True,True,False
Friday,Oddball,Streets,False,True,False,False,False,True,True,True
Friday,Capture the Flag,Argyle,False,True,False,False,False,True,True,False
Friday,Oddball,Live Fire,False,True,False,False,False,True,True,False
Friday,Capture the Flag,Empyrean,False,True,False,False,False,True,True,True
Friday,Team Slayer,Live Fire,False,True,False,False,False,True,True,False
Friday,Capture the Flag,Aquarious,False,True,False,False,False,True,True,True
Friday,Oddball,Live Fire,False,True,False,False,False,True,True,True
Friday,Team Slayer,Live Fire,False,True,False,False,False,True,True,True
Friday,Strongholds,Recharge,False,True,False,False,False,True,True,False
Friday,Oddball,Live Fire,False,True,False,False,False,True,True,False
Monday,Team Slayer,Recharge,False,True,False,True,False,True,True,False
Monday,Team Slayer,Aquarious,False,True,False,True,False,True,True,False
Monday,Capture the Flag,Aquarious,False,True,False,True,False,True,True,False
Monday,Capture the Flag,Forbidden,False,True,False,True,False,True,True,True
Monday,King of the Hill,Solitude,False,True,False,True,False,True,True,False
Monday,Team Slayer,,False,True,False,False,False,True,True,False
Tuesday,Strongholds,,False,True,False,False,False,True,True,True
Monday,Strongholds,,False,True,False,False,False,True,True,False
Tuesday,Team Slayer,Aquarious,False,True,False,True,False,True,True,True
Tuesday,King of the Hill,Streets,False,True,False,True,False,True,True,True
Tuesday,Team Slayer,Recharge,False,True,False,True,False,True,True,False
Tuesday,Oddball,Live Fire,False,True,False,True,False,True,True,True
Tuesday,Oddball,Streets,False,True,False,True,False,True,True,True
Sunday,Team Slayer,,False,True,False,True,False,True,True,True
Sunday,King of the Hill,,False,True,False,True,False,True,True,True
Sunday,Capture the Flag,,False,True,False,True,False,True,True,False
Sunday,Oddball,,False,True,False,True,False,True,True,False
Sunday,Team Slayer,,False,True,False,True,False,True,True,False
Sunday,Team Slayer,,False,True,False,True,False,True,True,False
Sunday,Extraction,,False,True,False,True,False,True,True,False
Wednesday,Capture the Flag,Empyrean,False,True,False,True,False,True,True,False
Wednesday,Capture the Flag,Forbidden,False,True,False,True,False,True,True,False
Wednesday,King of the Hill,Live Fire,False,True,False,True,False,True,True,True
Wednesday,Strongholds,Recharge,False,True,False,True,False,True,True,True
Thursday,Oddball,Live Fire,False,True,False,True,False,True,True,True
Thursday,Capture the Flag,Forest,False,True,False,True,False,True,True,True
Thursday,Strongholds,Live Fire,False,True,False,True,False,True,True,True
Thursday,Oddball,Streets,False,True,False,True,False,True,True,True
Wednesday,Oddball,Live Fire,False,True,True,False,False,True,True,True
Wednesday,Oddball,Recharge,False,True,True,False,False,True,True,False
Wednesday,Strongholds,Recharge,False,True,True,False,False,True,True,False
Wednesday,Strongholds,Interference,False,True,True,False,False,True,True,True
Wednesday,Strongholds,Interference,False,True,True,False,False,True,True,False
Wednesday,King of the Hill,Interference,False,True,True,False,False,True,True,False
Wednesday,Team Slayer,Aquarious,False,True,True,False,False,True,True,False
Monday,Oddball,Recharge,False,True,False,True,False,True,True,True
Monday,King of the Hill,Solitude,False,True,False,True,False,True,True,False
Monday,Capture the Flag,Forbidden,False,True,False,True,False,True,True,True
Monday,Team Slayer,Live Fire,False,True,False,True,False,True,True,True
Monday,Capture the Flag,Empyrean,False,True,False,True,False,True,True,False
Wednesday,Team Slayer,Live Fire,False,False,False,True,False,True,True,True
Wednesday,Oddball,Live Fire,False,False,False,True,False,True,True,False
Wednesday,Capture the Flag,Empyrean,False,False,False,True,False,True,True,True
Wednesday,Oddball,Streets,False,False,False,True,False,True,True,False
Tuesday,Capture the Flag,Argyle,False,True,False,True,False,True,True,True
